date,link,description,title
Lunes 19 de diciembre de 2016,http://www.eltiempo.com/colombia/otras-ciudades/consulta-minera-en-cajamarca/16776608,(...)  la explotación minera en sus suelos.,Fallos del Consejo de Estado sobre minería hacen crecer polémica
Lunes 19 de diciembre de 2016,http://www.eltiempo.com/multimedia/especiales/las-voces-que-se-le-arrebataron-a-la-guerra/16776401,(...) ,Las voces que se le arrebataron a la guerra
Lunes 19 de diciembre de 2016,http://www.eltiempo.com/bogota/distrito-mantendra-suspendida-la-construccion-de-nueva-sede-de-la-policia-de-bogota/16776279,"(...)  de la Policía Metropolitana de Bogotá, que se ubica en la carrera 56 n.° 22-96.","Sin estrenarse, la nueva sede de la Policía requiere reforzamientos"
Lunes 19 de diciembre de 2016,http://www.eltiempo.com/politica/justicia/dos-soldados-asesinados-en-saravena-arauca/16776004,"(...)  e identificar los cuerpos de los soldados que pertenecían al Batallón de , Militares 'General Rafael Navas Pardo', del municipio de Tame (Arauca).",Dos soldados del Ejército fueron asesinados en zona rural de Arauca
Lunes 19 de diciembre de 2016,http://www.eltiempo.com/economia/empresas/juan-carlos-echeverry-habla-del-futuro-de-ecopetrol-/16775964,"(...)  productores nuevos; perdimos 27.000 empleos en este último año y medio, pero el año entrante volveremos a contratar , de petróleo, geólogos, geofísicos (...)",'Ecopetrol ya está saliendo del infierno': Juan Carlos Echeverry
Lunes 19 de diciembre de 2016,http://www.eltiempo.com/economia/sectores/los-reparos-del-gobierno-a-la-sociedad-colombiana-de-ingenieros/16775899,"(...)  Colombiana de , (SCI)",Los reparos del Gobierno a la Sociedad Colombiana de Ingenieros
Miércoles 14 de diciembre de 2016,http://www.eltiempo.com/bogota/se-inauguran-el-centro-de-cancer-infantil-mas-grande-de-colombia/16772479,(...) .,El jueves se inaugura centro de cáncer infantil más grande de Colombia
Martes 13 de diciembre de 2016,http://www.eltiempo.com/estilo-de-vida/ciencia/drones-usados-en-la-agricultura/16772352,(...)  de la evaluación un asunto muy subjetivo.,Los drones son los nuevos 'ojos' de los científicos de la agricultura
Martes 13 de diciembre de 2016,http://www.eltiempo.com/colombia/medellin/asesinan-a-ingeniero-de-la-comunidad-lgtbi-en-medellin/16772162,"(...) ,
",Rechazo por asesinato de ingeniero en Medellín
Domingo 18 de diciembre de 2016,http://www.eltiempo.com/colombia/barranquilla/mike-schmulson-periodista-deportivo/16775687,"(...) , , químico y economista, políglota y exconcejal de Barranquilla –además de director y presentador de un programa de entrevistas con personajes de la actualidad por Telecaribe (...)","Mike Schmulson, 'papá' del béisbol por televisión"
Sábado 17 de diciembre de 2016,http://www.eltiempo.com/politica/justicia/mecor-senalado-por-desfalco-de-reficar/16775386,"(...)  millones de dólares, nunca se ejecutó.",Este es el 'rey' de los contratos del escándalo Reficar
Sábado 17 de diciembre de 2016,http://www.eltiempo.com/economia/sectores/produccion-de-leche-en-villapinzon/16775366,"(...)  relata que en el último verano, gracias a los pastos que ahora siembran en equipo, el ganado nunca sintió hambre.",La leche de Villapinzón sabe a trabajo en equipo y a mejores ingresos
Viernes 16 de diciembre de 2016,http://www.eltiempo.com/tecnosfera/novedades-tecnologia/acis-premio-al-mejor-emprendedor-en-ti-2016/16774579,(...) ,Premian al mejor emprendedor colombiano del sector tecnológico en 2016
Viernes  2 de diciembre de 2016,http://www.eltiempo.com/colombia/otras-ciudades/tunel-de-la-linea-mas-de-500-trabajadores-quedarian-sin-empleo-en-el-tunel-/16764278,(...)  dichos trabajos.,Más de 500 trabajadores quedarían sin empleo en el túnel de La Línea
Martes 13 de diciembre de 2016,http://www.eltiempo.com/colombia/boyaca-7-dias/32-mil-millones-a-paramos/16771951,"(...)  de Región Central, , ambiental Diego García Bejarano, tras ser elegido por unanimidad por el Consejo Directivo de la entidad, integrado por Bogotá, Boyacá, Cundinamarca, Meta (...)",$32 mil millones a páramos
Martes 13 de diciembre de 2016,http://www.eltiempo.com/economia/sectores/retos-del-nuevo-gerente-del-banco-de-la-republica/16771661,(...)  reto que le espera a Juan José Echavarría una vez asuma la gerencia de la entidad.,Los retos que le esperan al nuevo gerente del Banco de la República
Viernes  2 de diciembre de 2016,http://www.eltiempo.com/politica/justicia/unidad-de-justicia-y-paz-radico-cargos-a-exparamilitares/16764059,"(...)  se imputará cargos por el homicidio del profesor Alfredo Correa de Andreis, 17 de septiembre de 2004, en Barranquilla (Atlántico). Correa era , agrónomo y sociólogo (...)",Imputación de cargos a 725 exparamilitares por 22.000 delitos
Jueves  1 de diciembre de 2016,http://www.eltiempo.com/colombia/otras-ciudades/tunel-de-la-linea-veeduria-del-quindio-habia-advertido-retrasos-en-el-tunel-/16763692,"(...) , encargado de las obras del túnel de La Línea, el presidente de la Veeduría del túnel de La Línea y de la Sociedad de , del Quindío, Uriel Orjuela dijo (...)",Veeduría del Quindío había advertido retrasos en el túnel 
Jueves  1 de diciembre de 2016,http://www.eltiempo.com/politica/justicia/imputacion-a-exparamilitares/16763547,"(...)  de Barranquilla (Atlántico). Correa de Andreis era , agrónomo y sociólogo, enseñaba en las Universidades del Norte y Simón Bolívar.,- Masacre de la cabecera (...)",Imputarán cargos a 725 exparamilitares por más de 22.000 delitos
Jueves  1 de diciembre de 2016,http://www.eltiempo.com/politica/gobierno/el-ministro-de-transporte-jorge-rojas-giraldo-fue-hospitalizado/16763316,"(...) ”.,Rojas es , Civil de la Universidad Javeriana de Bogotá, con especialización en Desarrollo Gerencial de la Universidad Autónoma de Manizales, experto en Gestión (...)","El ministro de Transporte, Jorge Rojas Giraldo fue hospitalizado"
Jueves  1 de diciembre de 2016,http://www.eltiempo.com/politica/justicia/accidente-aereo-del-chapecoense/16763198,"(...) ”, le dijo a El TIEMPO el , de aviación Guillermo Elkin Casalins.",Audios de pilotos y torre de control dan claves del desastre aéreo
Jueves  1 de diciembre de 2016,http://www.eltiempo.com/colombia/medellin/podemos-afirmar-que-la-aeronave-no-tenia-combustible/16763149,"(...)  en la investigación de las cajas negras. “El , aeronáutico Julián Echeverri, del grupo de investigación de accidentes, logró localizar las dos cajas, que entraron a cadena (...)",'Podemos afirmar que la aeronave no tenía combustible'
Viernes 16 de diciembre de 2016,http://www.eltiempo.com/colombia/barranquilla/fallecio-el-periodista-colombiano-mike-schmulson/16774267,"(...)  años a Colombia, Schmulson se radicó con su familia desde niño en Barranquilla, ciudad donde fue concejal y se graduó de , químico.",Falleció el periodista colombiano Mike Schmulson
